I am 18+ and consent to take part. I understand anomymised data will be published openly,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life? ","On average, how many hours do you spend online each day? (self-estimate)  ",What do you use AI for most often? (Select all that apply),"In general, how confident do you feel using AI tools?  ",AI providing health or wellbeing advice ,AI making recommendations about money or finance ,AI influencing work-related decisions ,AI interacting with children or young people ,AI generating information that might be inaccurate ,AI forming opinions about someone based on personal data ,An AI tool taking small actions independently (e.g. drafting content without asking) ,An AI tool making decisions for you when you haven’t given explicit approval ,An AI tool remembering past conversations and using them to guide new ones ,An AI tool suggesting actions you did not expect or ask for ,I feel uneasy when an AI tool responds inconsistently to the same question. ,Sudden changes in tone or behaviour from AI make me question its reliability. ,"I prefer AI tools that behave predictably, even if they are less powerful. ",AI talking in a highly emotional or personal way ,AI using personal details to tailor responses ,AI giving strong opinions about sensitive topics ,AI becoming overly confident in its answers ,I sometimes overlook potential risks because AI tools make my tasks easier.  ,The convenience of AI is worth accepting some level of uncertainty. ," An AI tool offering guidance during a stressful moment (e.g., conflict, crisis, decision pressure)  ",An AI tool proactively warning you about potential risks in your behaviour ,An AI tool predicting your future choices based on past interactions ,I expect AI systems to become safer over time. ,I am more concerned about future AI than the AI we have today., I double-check AI information with other sources.  ,I avoid certain questions or topics with AI because I’m unsure how it will respond. ,I reduce how much I use AI when it feels unpredictable or confusing. ,Is there anything else you want to share about how you feel regarding AI safety or risk? (Optional) , How much do you trust AI systems to act in your best interests?  ,How clear do you feel about what matters most in your life right now? ,"How much does modern digital life affect your ability to focus, decide, or think clearly? ",How do you feel about the growing role of AI in everyday decision-making? ,Which values do you believe AI systems should reflect? (select up 3),What is your age group?,Which of the following best describes your gender?,Country of residence,What is your highest level of education? ,Which of the following best describes your current work status? ,How would you describe your general emotional wellbeing?  
Yes,Sometimes,11–12 hours,"Information or research, Work tasks",5,4,4,4,6,6,6,3,4,6,6,6,6,5,3,4,3,3,4,4,4,4,4,5,4,6,3,6,no,5,5,5,4,"Honesty, Transparency, Accountability",55 - 65,Woman,UK,Postgraduate degree,Employed full time,2
Yes,Often,2–4 hours,"Information or research, Work tasks",5,4,4,2,4,6,3,6,4,6,5,7,6,6,4,7,3,6,5,7,4,5,6,7,5,6,4,6,no,5,7,4,5,"Honesty, Transparency, Accountability",45 - 54,Man,UK,Bachelor’s degree,Employed full time,5
Yes,Often,7–8 hours,"Information or research, Work tasks, Decision-making, Learning or studying",6,6,5,4,7,6,7,1,1,6,4,6,5,7,3,4,6,4,4,7,4,6,4,7,4,7,2,5,"I run my own , local Home Remodeling business.  I know to prioritize human oversight, transparent governance, and training to harness gains without complacency on hallucinations or cyber vulnerabilities. Overall, balanced adoption with safeguards feels pragmatic for  my small business",5,7,5,6,"Responsibility, Transparency, Accountability",45 - 54,Man,US,Some university/college,Employed full time,6
Yes,Often,5–6 hours,"Work tasks, Entertainment",5,3,2,2,3,6,3,5,5,6,5,4,3,5,6,6,6,5,6,6,5,6,6,7,2,4,2,3,None that I can think of,5,6,2,5,"Empathy, Human wellbeing, Transparency",45 - 54,Man,UK,High school,Employed full time,3
Yes,Everyday,5–6 hours,"Information or research, Work tasks, Learning or studying",6,4,3,3,2,3,4,3,6,2,6,5,4,4,3,4,3,4,5,6,5,6,6,6,3,3,3,3,nothing else to add right now. Thank You,5,6,6,5,"Empathy, Fairness, Respect",35 - 44,Man,UK,Bachelor’s degree,Employed full time,6
Yes,Occasionally,7–8 hours,"Information or research, Work tasks, Creative projects",6,6,5,5,5,5,5,5,6,6,6,1,1,2,6,6,6,6,6,7,6,7,7,6,6,7,7,4,no tat all,6,7,6,6,"Honesty, Fairness, Human wellbeing",55 - 65,Woman,US,Bachelor’s degree,Employed full time,6
Yes,Very often,7–8 hours,"Information or research, Work tasks, Creative projects, Learning or studying",6,1,1,1,1,7,5,6,5,6,6,6,5,5,6,5,6,6,5,6,6,6,6,7,7,7,6,7,not really,6,6,4,6,"Responsibility, Non-harm, Transparency",25 - 34,Woman,UK,Some university/college,Employed full time,7
Yes,Sometimes,5–6 hours,"Information or research, Work tasks",6,5,3,4,6,7,6,2,2,5,1,7,6,7,5,5,1,1,5,5,5,5,5,5,6,4,1,7,no,5,5,3,5,"Honesty, Non-harm, Transparency",35 - 44,Man,Australia,Postgraduate degree,Self-employed / freelance,6
Yes,Everyday,7–8 hours,"Information or research, Work tasks, Emotional support or conversation, Decision-making, Learning or studying",6,4,4,5,7,7,7,1,1,2,2,5,7,5,3,3,1,2,5,4,5,5,5,4,5,4,3,2,No extra comments.,5,4,6,4,"Responsibility, Human wellbeing, Accountability",18 - 24,Woman,Canada,Bachelor’s degree,Employed full time,4
Yes,Sometimes,5–6 hours,"Information or research, Work tasks, Decision-making, Learning or studying",5,3,5,6,2,5,5,2,6,4,2,6,7,7,2,1,5,5,6,5,7,4,5,6,7,6,7,7,NO,3,5,6,5,"Honesty, Responsibility, Transparency",25 - 34,Man,US,Some university/college,Employed full time,4
Yes,Often,7–8 hours,"Information or research, Entertainment, Learning or studying",5,6,6,4,4,5,4,4,3,7,5,6,6,7,3,5,4,4,2,3,5,4,4,6,2,7,2,4,Not that I can think of,4,7,4,4,"Honesty, Human wellbeing, Non-harm",Over 65,Woman,US,Bachelor’s degree,Employed part-time,5
Yes,Everyday,5–6 hours,"Work tasks, Creative projects, Emotional support or conversation, Entertainment, Learning or studying",5,3,3,4,4,5,7,5,2,5,4,5,7,6,3,3,1,4,5,5,4,7,5,5,7,6,5,6,N/A,4,5,6,5,"Honesty, Empathy, Fairness",25 - 34,Woman,Canada,Postgraduate degree,Employed full time,4
Yes,Often,7–8 hours,"Information or research, Learning or studying",5,2,3,3,5,5,6,5,6,3,4,6,5,5,2,4,6,3,3,6,4,4,4,6,3,5,2,5,np,5,6,3,6,"Honesty, Non-harm, Transparency",55 - 65,Woman,UK,Bachelor’s degree,Not currently working,6
Yes,Occasionally,2–4 hours,"Information or research, Decision-making",5,5,4,4,6,5,4,3,6,3,4,5,4,5,4,5,5,4,5,4,5,6,5,7,5,5,4,3,None,4,5,4,3,"Honesty, Responsibility, Non-harm",25 - 34,Woman,UK,Bachelor’s degree,Employed full time,4
Yes,Very often,5–6 hours,"Information or research, Work tasks, Creative projects, Emotional support or conversation, Decision-making",6,5,6,7,5,3,6,1,1,7,6,7,6,5,7,7,4,6,3,5,7,7,6,7,1,2,4,6,No ty,5,6,3,5,"Honesty, Human wellbeing, Non-harm",25 - 34,Woman,Canada,Some university/college,Student,4
Yes,Occasionally,Less than 2 hours,Information or research,3,5,5,4,6,5,5,4,1,1,1,5,6,7,3,6,6,4,2,5,6,6,5,7,7,2,2,4,No,4,5,5,5,"Honesty, Empathy, Fairness",35 - 44,Woman,UK,High school,Not currently working,5
Yes,Occasionally,5–6 hours,Information or research,4,6,5,5,4,6,5,3,2,3,2,4,4,4,4,3,3,3,4,4,3,3,3,4,3,5,4,4,No,4,4,3,4,"Respect, Responsibility, Accountability",45 - 54,Man,UK,Bachelor’s degree,Employed full time,5
Yes,Often,5–6 hours,"Information or research, Creative projects, Emotional support or conversation, Decision-making, Learning or studying",5,4,3,4,2,6,5,5,3,5,5,5,6,3,3,5,4,3,2,1,5,5,5,6,4,5,6,6,"AI serves numerous important purposes, However it might need, possibly some regulation around""Use and mis-use..",4,6,2,6,"Honesty, Empathy, Respect",25 - 34,Man,UK,Postgraduate degree,Employed full time,7
Yes,Everyday,More than 12 hours,"Information or research, Emotional support or conversation",6,3,6,4,7,5,3,3,4,7,5,7,7,5,7,7,6,6,5,5,7,7,5,7,7,5,5,5,No,7,6,2,4,"Honesty, Empathy, Human wellbeing",35 - 44,Woman,UK,Some university/college,Employed full time,7
Yes,Occasionally,2–4 hours,"Information or research, Creative projects",6,5,4,3,3,5,5,4,3,6,5,6,4,3,6,5,4,5,5,5,4,6,6,4,6,2,4,2,I try not to use it too much,5,6,7,4,"Honesty, Empathy, Non-harm",25 - 34,Woman,UK,Some university/college,Self-employed / freelance,5
Yes,Sometimes,11–12 hours,"Information or research, Emotional support or conversation, Decision-making, Learning or studying",5,3,2,6,7,7,6,2,1,5,4,7,5,4,3,6,4,3,5,5,6,5,4,6,7,5,5,6,AI is a risk if it's more sycophantic than objective,3,1,7,3,"Honesty, Non-harm, Transparency",25 - 34,Man,Canada,Some university/college,Not currently working,3
Yes,Very often,2–4 hours,"Information or research, Work tasks, Creative projects, Emotional support or conversation, Decision-making, Entertainment, Learning or studying",7,1,1,1,1,1,1,7,1,7,1,7,7,4,7,7,7,7,1,7,7,7,7,7,7,5,1,1,no,7,7,7,7,"Honesty, Transparency, Accountability",55 - 65,Woman,US,Bachelor’s degree,Employed full time,7
Yes,Sometimes,5–6 hours,"Information or research, Work tasks",4,5,6,4,6,7,6,3,1,5,3,6,6,7,1,3,2,5,2,4,2,3,4,4,5,6,4,5,Nothing else to add,3,6,4,3,"Non-harm, Transparency, Accountability",55 - 65,Woman,UK,Bachelor’s degree,Employed full time,5
Yes,Very often,2–4 hours,"Information or research, Creative projects, Entertainment",4,4,2,4,5,4,3,4,5,2,4,3,5,4,4,6,4,4,1,5,5,5,5,5,3,5,6,4,I feel like AI is a useful tool but its un it is un wise to take everything it says as 100 percent ,4,6,4,5,"Respect, Human wellbeing, Non-harm",25 - 34,Woman,UK,High school,Not currently working,5
Yes,Often,7–8 hours,"Information or research, Work tasks, Decision-making",5,4,5,6,6,5,6,4,6,5,5,2,4,3,4,5,4,6,4,6,4,5,5,6,5,6,5,5,Nothing else,5,6,6,5,"Honesty, Empathy, Fairness",45 - 54,Man,UK,High school,Employed full time,5
Yes,Occasionally,2–4 hours,"Information or research, Learning or studying",5,7,7,7,7,7,3,3,2,1,5,4,7,7,1,1,1,1,3,2,1,1,1,1,7,7,4,5,I think there's a major issue (potential or realised) with privacy.,1,5,1,1,"Responsibility, Transparency, Accountability",55 - 65,Woman,Australia,Postgraduate degree,Employed full time,4
Yes,Rarely,5–6 hours,Information or research,4,4,4,4,4,6,4,4,4,4,4,4,4,4,2,4,4,2,1,1,1,1,1,4,7,4,4,4,no,1,7,1,1,"Non-harm, Transparency, Accountability",35 - 44,Woman,US,Postgraduate degree,Employed full time,7
Yes,Occasionally,2–4 hours,"Information or research, Entertainment",3,7,7,5,7,7,6,2,1,4,2,7,6,7,1,1,1,1,5,4,1,1,2,4,1,7,4,6,I liked in the past when AI would list the web links they used to create the provided summary.  This allowed me to more easily check the validity of the created summary.  I have also read that now AI will use AI generated summaries as a reference point.  If this is the case then this is so wrong.,1,6,5,1,"Honesty, Transparency, being truthful",55 - 65,Man,Canada,Bachelor’s degree,Not currently working,6
Yes,Sometimes,7–8 hours,Information or research,5,6,5,6,7,6,6,6,1,5,3,5,6,7,2,6,2,3,3,2,5,2,1,6,2,7,1,1,no,2,7,1,5,"Honesty, Fairness, Non-harm",45 - 54,Woman,US,Bachelor’s degree,Self-employed / freelance,7
Yes,Occasionally,7–8 hours,"Information or research, Creative projects, Emotional support or conversation, Decision-making, Learning or studying",6,1,2,3,6,6,4,6,1,7,5,7,6,5,7,5,7,7,5,7,7,6,1,7,7,4,6,4,"For  me personally A.I safety is basically about making sure A.I systems behave in a way that is more helpful, reliable and safe to soceity.",6,7,1,4,"Human wellbeing, Transparency, Accountability",45 - 54,Man,UK,Postgraduate degree,Employed full time,7
Yes,Sometimes,5–6 hours,"Information or research, Learning or studying",4,6,6,3,7,7,7,3,1,5,2,7,7,7,2,1,1,2,2,2,1,1,2,5,6,3,6,6,"I only use A1 on occasions, for information, never ask anything personal",5,7,3,4,"Honesty, Fairness, Human wellbeing",Over 65,Woman,UK,Some university/college,Employed part-time,6
Yes,Very often,7–8 hours,"Information or research, Decision-making",6,6,5,6,6,7,6,3,2,2,2,5,6,6,2,2,2,3,4,5,5,5,5,3,5,6,3,4,N/A,3,5,4,3,"Responsibility, Non-harm, Transparency",18 - 24,Woman,UK,Bachelor’s degree,Employed full time,5
Yes,Very often,11–12 hours,"Work tasks, Decision-making, Learning or studying",5,3,2,3,6,3,3,4,5,3,5,3,3,5,3,3,5,5,3,4,4,5,5,5,4,6,3,4,No,4,5,4,5,"Responsibility, Transparency, Accountability",35 - 44,Woman,UK,Bachelor’s degree,Employed full time,6
Yes,Everyday,7–8 hours,"Information or research, Creative projects, Emotional support or conversation, Decision-making, Learning or studying",5,5,2,2,2,2,5,4,2,1,1,7,7,5,5,1,1,5,5,5,6,6,2,6,5,6,5,6,no,4,4,5,5,"Honesty, Fairness, Transparency",35 - 44,Woman,US,Bachelor’s degree,Employed part-time,5
Yes,Often,5–6 hours,"Information or research, Creative projects, Entertainment",6,6,5,7,7,7,7,5,1,4,3,2,1,1,2,3,6,4,1,3,2,5,2,7,1,5,6,3,I mostly use AI for letting it write little stories for myself and don't really use it for anything personal to be honest. I can see why some people turn to them for life advice and it can be useful for summarizing things found on the web but just like with humans on the internet you have to be careful with the information you're seeing and always be on the lookout,5,3,2,5,"Fairness, Responsibility, Transparency",25 - 34,Man,UK,High school,Employed full time,5
Yes,Everyday,9–10 hours,Work tasks,5,4,5,5,4,6,6,3,3,6,6,5,6,6,4,5,4,5,6,6,5,6,5,6,6,3,2,2,No I use it everyday and generally trust it ,6,4,5,6,"Honesty, Fairness, Non-harm",35 - 44,Woman,UK,Bachelor’s degree,Employed full time,5
Yes,Everyday,7–8 hours,"Information or research, Work tasks, Emotional support or conversation, Decision-making, Learning or studying",7,4,4,3,3,5,5,3,1,6,4,6,6,7,7,7,4,4,5,5,6,7,5,6,6,6,6,5,n/a,6,6,5,6,"Honesty, Fairness, Responsibility",25 - 34,Woman,Australia,Postgraduate degree,Student,5
Yes,Everyday,More than 12 hours,"Information or research, Work tasks, Creative projects, Decision-making, Learning or studying",7,6,5,4,6,7,7,5,4,7,5,6,7,5,5,6,5,5,5,6,5,6,6,6,7,5,6,6,"With anything, do your own research!",6,6,6,6,"Responsibility, Transparency, Accountability",55 - 65,Man,UK,Bachelor’s degree,Self-employed / freelance,5
Yes,Sometimes,5–6 hours,Information or research,5,3,3,3,3,5,2,2,1,3,2,6,4,5,2,2,2,2,3,6,5,7,5,6,2,5,2,5,I know AI occasionally makes things up!,2,3,3,5,"Responsibility, Human wellbeing, Transparency",45 - 54,Man,UK,Postgraduate degree,Employed full time,3
Yes,Sometimes,2–4 hours,"Information or research, Entertainment",4,4,5,4,4,2,6,1,1,2,1,4,4,5,3,3,3,4,5,4,5,5,4,6,4,3,3,5,N/A,6,5,4,5,"Honesty, Non-harm, Accountability",55 - 65,Man,UK,Bachelor’s degree,Not currently working,6
Yes,Sometimes,5–6 hours,"Information or research, Work tasks, Learning or studying",4,6,5,4,7,5,6,4,3,5,3,6,5,6,3,4,3,4,5,5,4,5,3,5,5,6,4,5,I feel AI has its benefits and risks but if managed well the benefits definitely outweigh the risks. ,4,5,5,4,"Honesty, Empathy, Transparency",25 - 34,Man,UK,Bachelor’s degree,Employed full time,6
Yes,Everyday,More than 12 hours,"Information or research, Work tasks, Learning or studying",6,2,6,3,7,6,5,3,1,7,2,7,7,6,2,4,2,4,1,6,5,3,5,5,7,5,7,5,The biggest problem I have is when it makes up answers. It needs to be more consistent in giving real solutions.,5,6,2,5,"Honesty, Human wellbeing, Transparency",35 - 44,Man,New Zealand,Some university/college,Employed full time,3
Yes,Everyday,2–4 hours,"Information or research, Work tasks, Decision-making, Entertainment, Learning or studying",7,7,2,2,1,7,4,6,4,7,7,7,7,7,7,7,7,7,3,3,7,7,7,7,1,5,3,7,Nope,6,6,7,7,"Honesty, Responsibility, Transparency",45 - 54,Woman,US,Bachelor’s degree,Employed full time,6
Yes,Occasionally,11–12 hours,"Information or research, Entertainment",4,6,6,4,7,5,6,1,1,1,1,6,7,6,1,2,1,1,1,1,1,1,2,1,6,7,6,6,No comments,2,6,1,1,"Honesty, Transparency",45 - 54,Man,UK,High school,Not currently working,5
Yes,Very often,Less than 2 hours,"Information or research, Creative projects, Entertainment",6,5,6,4,6,7,6,5,7,4,4,5,3,6,4,6,6,4,5,4,6,4,5,7,4,2,2,2,no,4,5,5,3,"Respect, Human wellbeing, Transparency",25 - 34,Woman,US,Some university/college,Employed full time,6
Yes,Very often,5–6 hours,"Work tasks, Creative projects, Decision-making",6,5,3,2,6,6,4,3,5,5,5,6,5,4,2,4,3,3,2,2,6,6,5,7,6,6,5,5,AI providing harmful responses that are respectful or safe to the user,5,7,2,6,"Honesty, Empathy, Non-harm",25 - 34,Man,UK,Postgraduate degree,Employed full time,7
Yes,Everyday,9–10 hours,"Information or research, Work tasks, Creative projects, Decision-making, Entertainment, Learning or studying",7,2,5,3,1,5,5,1,6,7,7,7,5,4,7,6,7,7,5,4,7,7,7,7,1,5,5,7,N/A,6,7,5,7,"Honesty, Responsibility, Transparency",35 - 44,Man,US,Bachelor’s degree,Employed full time,7
Yes,Often,5–6 hours,"Information or research, Decision-making, Learning or studying",5,5,5,5,3,4,3,3,2,5,5,3,3,4,3,2,4,6,4,5,6,4,4,5,3,3,2,4,Nothing comes to mind at the moment.,4,3,2,4,"Honesty, Responsibility, Transparency",35 - 44,Man,US,High school,Not currently working,4
Yes,Sometimes,7–8 hours,"Information or research, Creative projects, Learning or studying",5,6,3,5,6,6,6,6,2,5,2,6,6,6,2,3,2,5,3,5,5,5,5,6,3,6,5,5,Not really. ,5,6,6,5,"Honesty, Non-harm, Accountability",18 - 24,Woman,US,Some university/college,Student,6
Yes,Sometimes,5–6 hours,"Information or research, Emotional support or conversation, Decision-making, Entertainment, Learning or studying",6,5,3,3,5,4,5,3,2,6,3,6,3,4,5,5,4,5,6,5,5,6,5,7,2,5,3,2,no,5,4,5,5,"Honesty, Respect, Accountability",45 - 54,Man,US,High school,Employed full time,4
Yes,Sometimes,5–6 hours,"Information or research, Decision-making",5,5,5,4,4,6,5,5,3,6,4,6,6,5,2,2,2,4,5,5,5,6,3,6,4,5,3,5,I don’t think AI can be fully trusted yet with more important decisions.,4,6,3,4,"Honesty, Responsibility, Transparency",55 - 65,Man,UK,High school,Other,3
Yes,Everyday,2–4 hours,"Information or research, Work tasks, Creative projects",7,7,6,6,7,7,7,2,2,1,2,7,7,7,2,1,1,1,2,2,2,2,1,6,6,6,1,1,"My main concern surrounding AI safety, is that I have observed both heavy religious and political bias. I fear it will be used as yet another propaganda tool and that people will walk blindly into it. AI could and should be pure and a tool for real advancement of the human race, but I fear this will not be the case. Greed and thirst for power will likely win. ",1,1,1,3,"Honesty, Human wellbeing, Transparency",45 - 54,Man,UK,Some university/college,Employed full time,7
Yes,Everyday,9–10 hours,"Information or research, Work tasks, Decision-making",6,5,4,2,5,3,2,6,4,6,7,3,4,5,3,5,2,3,2,6,2,5,6,6,2,6,2,4,"I think like most tools it will get better and less biased in the future but it's up to users to remain skeptical and not blindly accept results, just like most people wouldnt automatically just accept the first result on a Google search",5,6,5,5,"Honesty, Transparency, Accountability",45 - 54,Man,US,Bachelor’s degree,Employed full time,6
Yes,Rarely,5–6 hours,Information or research,2,7,6,6,4,7,4,1,1,4,3,7,7,4,1,3,1,1,1,1,1,4,4,3,6,7,7,7,NO,2,6,3,1,"Responsibility, Non-harm, Transparency",35 - 44,Woman,UK,High school,Employed part-time,6
Yes,Occasionally,More than 12 hours,"Information or research, Work tasks",4,7,7,6,7,7,7,1,1,1,3,6,6,4,1,2,1,1,1,1,1,1,1,3,1,6,4,7,no,4,6,4,2,"Fairness, Transparency, Accountability",35 - 44,Woman,UK,Some university/college,Employed full time,2
Yes,Sometimes,5–6 hours,Information or research,4,5,4,3,4,2,4,3,2,5,4,4,5,5,3,5,4,4,2,3,5,3,5,6,2,1,2,2,No,5,6,2,5,"Honesty, Responsibility, Accountability",55 - 65,Woman,UK,Bachelor’s degree,Other,5
Yes,Everyday,5–6 hours,"Information or research, Emotional support or conversation, Entertainment",6,5,5,5,4,3,3,6,4,5,5,5,4,6,2,6,5,4,5,4,6,6,5,6,5,2,4,5,No,5,6,5,5,"Honesty, Responsibility, Accountability",55 - 65,Man,UK,Bachelor’s degree,Employed full time,6
Yes,Everyday,5–6 hours,"Information or research, Work tasks, Creative projects, Learning or studying",7,4,4,3,4,2,4,5,1,6,1,7,7,4,2,2,2,2,6,6,7,6,7,7,6,5,5,7,None,6,7,3,6,"Honesty, Fairness, Non-harm",25 - 34,Man,UK,Postgraduate degree,Employed full time,7
Yes,Very often,5–6 hours,"Information or research, Creative projects, Emotional support or conversation, Decision-making, Entertainment",7,6,6,6,6,6,2,6,7,7,6,4,6,5,5,5,4,4,5,4,6,7,6,7,7,5,6,5,n/a,7,6,7,6,"Honesty, Fairness, Responsibility",25 - 34,Man,US,Some university/college,Not currently working,7
Yes,Very often,9–10 hours,"Information or research, Work tasks, Decision-making, Learning or studying",5,5,3,4,5,4,6,1,1,3,6,1,2,6,1,5,5,4,1,5,7,7,4,7,3,6,1,3,"As it stands now, I'm quite comfortable using AI for the purposes I currently use it for. I find it very helpful to me. I do not use it for highly personal purposes.",6,7,2,4,"Empathy, Non-harm, Transparency",55 - 65,Woman,US,Postgraduate degree,Employed part-time,6
Yes,Everyday,More than 12 hours,"Information or research, Work tasks, Creative projects, Emotional support or conversation, Decision-making, Entertainment, Learning or studying",7,1,1,1,6,5,7,5,3,2,2,7,7,7,1,1,7,7,7,7,7,7,3,3,7,7,7,7,I think AI has a lot of potential to make life easier and improve life efficiency but also needs strong safety guidelines and transparecny. ,5,7,7,7,"Honesty, Transparency, Accountability",35 - 44,Man,US,Bachelor’s degree,Employed full time,7
Yes,Sometimes,7–8 hours,Entertainment,2,6,6,2,6,7,7,1,1,1,1,7,7,4,2,5,5,2,2,1,3,5,1,3,6,3,5,6,I fear AI is relied upon too easily has the potential to cause negative consequences for users.,3,6,6,2,"Honesty, Human wellbeing, Transparency",55 - 65,Woman,UK,High school,Not currently working,4
Yes,Occasionally,More than 12 hours,"Information or research, Work tasks, Decision-making, Learning or studying",2,7,7,5,6,7,7,2,1,1,2,7,7,4,3,3,2,1,5,3,1,6,5,2,7,6,3,6,no comment,1,2,6,2,"Honesty, Human wellbeing, Non-harm",35 - 44,Man,US,Some university/college,Not currently working,1
Yes,Rarely,2–4 hours,Information or research,4,6,6,6,6,6,6,3,2,4,3,6,6,6,2,2,2,2,2,2,2,2,4,2,6,6,5,6,N/A,2,6,3,2,"Respect, Non-harm, Transparency",18 - 24,Woman,US,Some university/college,Employed part-time,6
Yes,Often,2–4 hours,Work tasks,5,4,3,2,4,4,3,3,3,5,5,4,4,5,3,4,5,5,5,6,4,3,3,4,4,2,2,3,no,4,6,4,5,"Honesty, Fairness",45 - 54,Man,UK,Bachelor’s degree,Employed full time,6
Yes,Rarely,Less than 2 hours,Information or research,5,7,6,7,7,7,5,1,1,4,1,7,7,7,1,2,1,2,2,1,1,4,1,1,7,7,6,7,"There needs to be laws regarding deepfakes in the AI community at the moment. Right now, there are no limitations on what  can and can't be generated within the law and it's all fun and games till it gets too realistic to tell apart from real life scenarios.",3,6,2,2,"Honesty, Non-harm, Transparency",25 - 34,Man,US,High school,Not currently working,6
Yes,Often,2–4 hours,"Information or research, Decision-making, Entertainment",5,5,5,4,6,5,6,2,1,2,2,6,7,4,2,5,4,3,5,4,6,4,6,7,6,3,2,4,No,5,6,2,5,"Responsibility, Non-harm, Accountability",Over 65,Man,UK,Postgraduate degree,Other,5
Yes,Very often,More than 12 hours,"Information or research, Creative projects, Decision-making, Entertainment",5,3,4,3,4,2,4,3,4,5,4,5,6,4,5,3,6,5,6,5,7,4,6,4,6,4,3,5,great,6,4,6,4,"Honesty, Empathy, Fairness",25 - 34,Woman,Australia,Postgraduate degree,Employed part-time,4
Yes,Everyday,5–6 hours,"Information or research, Work tasks, Emotional support or conversation, Decision-making, Learning or studying",7,6,5,5,5,5,6,5,5,4,5,4,5,3,5,4,5,5,5,6,5,5,6,5,6,6,5,6,none,6,4,6,4,"Fairness, Transparency, Accountability",45 - 54,Woman,US,Bachelor’s degree,Employed full time,6
